WordID,TestID,TestName,Word,LanguageCode,WordPhonetic,Description,Image
240,12,Tense_01,Me teemme sopimuksen,fi,,We make an agreement.,
241,12,Tense_01,Te teette sen oikein,fi,,You do it correctly.,
242,12,Tense_01,He tekevät päätöksen,fi,,They make a decision.,
243,12,Tense_01,Minä tein kakun,fi,,I made a cake.,
244,12,Tense_01,Sinä teit läksyjäsi,fi,,you did your homework.,
245,12,Tense_01,Hän teki virheen,fi,,He/she made a mistake.,
246,12,Tense_01,Me teimme sopimuksen,fi,,We made an agreement.,
247,12,Tense_01,Te teitte sen oikein,fi,,You did it correctly.,
248,12,Tense_01,He tekivät päätöksen,fi,,They made a decision.,
249,13,Hello,hyvää huomenta,fi,,Good morning!,
250,13,Hello,hyvää yötä,fi,,good night,
251,13,Hello,mitä kuuluu,fi,,how are you,
252,13,Hello,oikein hyvää,fi,,very well,
253,13,Hello,kiitos,fi,,Thank you,
254,13,Hello,näkemiin,fi,,goodbye,
255,13,Hello,Mikä on nimesi,fi,,What is your name?,
256,13,Hello,nimesi on,fi,,my name is ...,
257,13,Hello,ole kiltti,fi,,please,
258,13,Hello,kyllä,fi,,Yes,
259,13,Hello,hauska tavata,fi,,nice to meet you.,
260,13,Hello,epiä kestä,fi,,you are welcome,
261,13,Hello,tavata,fi,,meet,
262,13,Hello,tapaan sinut,fi,,i meet you,
263,13,Hello,tapasimme hänet,fi,,we met her,
264,13,Hello,he tapaavat minut,fi,,they meet me,
265,13,Hello,terve,fi,,Hello,
266,13,Hello,anteeksi,fi,,excuse me,
267,13,Hello,tervetuloa,fi,,welcome,
268,13,Hello,onnea,fi,,good luck,
269,13,Hello,kippis,fi,,cheers,
270,13,Hello,paljon onnea,fi,,congratulation,
271,13,Hello,nähdään myöhemmin,fi,,see you later,
272,13,Hello,nähdään pian,fi,,see you soon!,
273,16,Mondly2,kynä,fi,,pencil,
274,16,Mondly2,lyijykynä,fi,,pencil,
275,16,Mondly2,vihko,fi,,notebook,
276,16,Mondly2,kirja,fi,,book,
277,16,Mondly2,reppu,fi,,backpack,
278,16,Mondly2,passi,fi,,passport,
279,16,Mondly2,louttokortti,fi,,credit card,
280,16,Mondly2,lompakko,fi,,wallet,
281,16,Mondly2,rannekello,fi,,watch,
282,16,Mondly2,silmälasit,fi,,glasses,
283,16,Mondly2,työpöytä,fi,,desk,
284,16,Mondly2,avain,fi,,key,
285,16,Mondly2,sateenvarjo,fi,,umbrella,
286,16,Mondly2,ovi,fi,,door,
287,16,Mondly2,matkapuhelin,fi,,mobile phone,
288,16,Mondly2,kannettava tietokone,fi,,laptop,
289,16,Mondly2,laturi,fi,,charger,
290,16,Mondly2,käsilaukku,fi,,handbag,
291,16,Mondly2,laukku,fi,,bag,
